prefix,name,questrade_symbol_id
FLIR,FLIR Systems,18097
FLS,Flowserve Corporation,19045
FLR,Fluor Corp.,19041
FMC,FMC Corporation,18105
FTI,FMC Technologies Inc.,16314731
FL,Foot Locker Inc,19097
F,Ford Motor,19117
FTV,Fortive Corp,14311036
FBHS,Fortune Brands Home & Security,990398
BEN,Franklin Resources,19294
FCX,Freeport-McMoran Cp & Gld,19329
FTR,Frontier Communications,19380
GPS,Gap (The),19727
GRMN,Garmin Ltd.,44946
GD,General Dynamics,19878
GE,General Electric,19879
GGP,General Growth Properties Inc.,19900
GIS,General Mills,19905
GM,General Motors,19916
GPC,Genuine Parts,19994
GILD,Gilead Sciences,20102
GPN,Global Payments Inc,20238
GS,Goldman Sachs Group,20617
GT,Goodyear Tire & Rubber,20680
GWW,Grainger (W.W.) Inc.,20722
HAL,Halliburton Co.,21348
HBI,Hanesbrands Inc,21405
HOG,Harley-Davidson,21454
HAR,Harman Int'l Industries,21458
HRS,Harris Corporation,21470
HIG,Hartford Financial Svc.Gp.,21505
HAS,Hasbro Inc.,21539
HCA,HCA Holdings,21223
HCP,HCP Inc.,21228
HP,Helmerich & Payne,21707
HES,Hess Corporation,21775
HPE,Hewlett Packard Enterprise,11501937
HOLX,Hologic,21927
HD,Home Depot,21941
HON,Honeywell Int'l Inc.,22000
HRL,Hormel Foods Corp.,22043
HST,Host Hotels & Resorts,22131
HPQ,HP Inc.,11745773
HUM,Humana Inc.,22202
HBAN,Huntington Bancshares,22234
IDXX,IDEXX Laboratories,22686
ITW,Illinois Tool Works,22720
ILMN,Illumina Inc,22721
IR,Ingersoll-Rand PLC,44061
INTC,Intel Corp.,23205
ICE,Intercontinental Exchange,4864851
IBM,International Business Machines,23364
IP,International Paper,23463
IPG,Interpublic Group,23535
IFF,Intl Flavors & Fragrances,23397
INTU,Intuit Inc.,23591
ISRG,Intuitive Surgical Inc.,23598
IVZ,Invesco Ltd.,44078
IRM,Iron Mountain Incorporated,8767828
JEC,Jacobs Engineering Group,24234
JBHT,J. B. Hunt Transport Services,22221
SJM,JM Smucker,36525
JNJ,Johnson & Johnson,24381
JCI,Johnson Controls International,14981058
JPM,JPMorgan Chase & Co.,24177
JNPR,Juniper Networks,24535
KSU,Kansas City Southern,24659
K,Kellogg Co.,24711
KEY,KeyCorp,24807
KMB,Kimberly-Clark,24857
